,Tanggal,RR
667,2020-10-29,0.0
668,2020-10-30,0.0
669,2020-10-31,20.6
670,2020-11-01,34.3
671,2020-11-02,22.6
672,2020-11-03,8.6
673,2020-11-04,5.923071528751754
674,2020-11-05,0.0
675,2020-11-06,0.0
676,2020-11-07,0.0
677,2020-11-08,5.923071528751754
678,2020-11-09,5.923071528751754
679,2020-11-10,0.0
680,2020-11-11,0.0
681,2020-11-12,5.923071528751754
682,2020-11-13,5.923071528751754
683,2020-11-14,0.0
684,2020-11-15,4.4
685,2020-11-16,15.5
686,2020-11-17,5.923071528751754
687,2020-11-18,0.0
688,2020-11-19,0.0
689,2020-11-20,5.923071528751754
690,2020-11-21,0.5
691,2020-11-22,0.0
692,2020-11-23,7.5
693,2020-11-24,3.0
694,2020-11-25,5.923071528751754
695,2020-11-26,0.3
696,2020-11-27,1.2
697,2020-11-28,5.923071528751754
698,2020-11-29,5.923071528751754
699,2020-11-30,35.8
700,2020-12-01,0.0
701,2020-12-02,3.0
702,2020-12-03,0.2
703,2020-12-04,0.0
704,2020-12-05,46.1
705,2020-12-06,36.6
706,2020-12-07,26.4
707,2020-12-08,6.0
708,2020-12-09,15.3
709,2020-12-10,15.9
710,2020-12-11,4.3
711,2020-12-12,13.1
712,2020-12-13,31.3
713,2020-12-14,9.9
714,2020-12-15,18.1
715,2020-12-16,1.0
716,2020-12-17,17.0
717,2020-12-18,3.5
718,2020-12-19,10.8
719,2020-12-20,1.0
720,2020-12-21,2.6
721,2020-12-22,5.0
722,2020-12-23,21.9
723,2020-12-24,0.0
724,2020-12-25,0.0
725,2020-12-26,5.923071528751754
726,2020-12-27,1.0
727,2020-12-28,25.5
728,2020-12-29,58.3
729,2020-12-30,33.3
730,2020-12-31,22.7
731,2021-01-01,50.0
732,2021-01-02,0.0
733,2021-01-03,4.3
734,2021-01-04,9.9
735,2021-01-05,3.7
736,2021-01-06,11.1
737,2021-01-07,5.923071528751754
738,2021-01-08,34.7
739,2021-01-09,0.4
740,2021-01-10,13.5
741,2021-01-11,5.0
742,2021-01-12,1.3
743,2021-01-13,0.0
744,2021-01-14,29.7
745,2021-01-15,0.3
746,2021-01-16,5.923071528751754
747,2021-01-17,0.0
748,2021-01-18,0.0
749,2021-01-19,4.5
750,2021-01-20,0.2
751,2021-01-21,10.5
752,2021-01-22,13.4
753,2021-01-23,31.5
754,2021-01-24,28.0
755,2021-01-25,8.1
756,2021-01-26,5.923071528751754
757,2021-01-27,59.8
758,2021-01-28,0.4
759,2021-01-29,1.6
760,2021-01-30,5.923071528751754
761,2021-01-31,2.0
762,2021-02-01,26.6
763,2021-02-02,6.2
764,2021-02-03,0.0
765,2021-02-04,6.6
766,2021-02-05,29.0
767,2021-02-06,2.5
768,2021-02-07,3.5
769,2021-02-08,5.923071528751754
770,2021-02-09,32.6
771,2021-02-10,2.5
772,2021-02-11,40.5
773,2021-02-12,5.923071528751754
774,2021-02-13,22.5
775,2021-02-14,13.4
776,2021-02-15,18.5
777,2021-02-16,5.923071528751754
778,2021-02-17,64.8
779,2021-02-18,1.4
780,2021-02-19,0.0
781,2021-02-20,0.0
782,2021-02-21,18.0
783,2021-02-22,10.4
784,2021-02-23,0.0
785,2021-02-24,38.1
786,2021-02-25,26.4
787,2021-02-26,9.0
788,2021-02-27,22.3
789,2021-02-28,74.8
790,2021-03-01,21.5
791,2021-03-02,24.2
792,2021-03-03,20.8
793,2021-03-04,0.8
794,2021-03-05,14.2
795,2021-03-06,41.3
796,2021-03-07,7.5
797,2021-03-08,11.9
798,2021-03-09,5.923071528751754
799,2021-03-10,0.2
800,2021-03-11,0.0
801,2021-03-12,1.0
802,2021-03-13,13.6
803,2021-03-14,13.6
804,2021-03-15,1.3
805,2021-03-16,3.4
806,2021-03-17,0.8
807,2021-03-18,0.0
808,2021-03-19,29.2
809,2021-03-20,23.3
810,2021-03-21,0.0
811,2021-03-22,7.0
812,2021-03-23,5.923071528751754
813,2021-03-24,38.0
814,2021-03-25,1.0
815,2021-03-26,5.923071528751754
816,2021-03-27,0.5
817,2021-03-28,0.0
818,2021-03-29,5.923071528751754
819,2021-03-30,0.0
820,2021-03-31,3.5
821,2021-04-01,4.6
822,2021-04-02,5.923071528751754
823,2021-04-03,0.0
824,2021-04-04,0.0
825,2021-04-05,12.6
826,2021-04-06,5.923071528751754
827,2021-04-07,6.1
828,2021-04-08,7.5
829,2021-04-09,5.8
830,2021-04-10,5.923071528751754
831,2021-04-11,1.8
832,2021-04-12,5.923071528751754
833,2021-04-13,3.3
834,2021-04-14,0.0
835,2021-04-15,0.0
836,2021-04-16,0.0
837,2021-04-17,0.0
838,2021-04-18,0.0
839,2021-04-19,1.6
840,2021-04-20,0.0
841,2021-04-21,0.0
842,2021-04-22,0.0
843,2021-04-23,0.0
844,2021-04-24,5.923071528751754
845,2021-04-25,0.0
846,2021-04-26,0.0
847,2021-04-27,0.0
848,2021-04-28,0.0
849,2021-04-29,2.0
850,2021-04-30,0.0
851,2021-05-01,0.0
852,2021-05-02,3.5
853,2021-05-03,5.923071528751754
854,2021-05-04,0.0
855,2021-05-05,0.0
856,2021-05-06,0.0
857,2021-05-07,0.0
858,2021-05-08,27.5
859,2021-05-09,0.0
860,2021-05-10,0.0
861,2021-05-11,0.0
862,2021-05-12,0.0
863,2021-05-13,0.0
864,2021-05-14,0.0
865,2021-05-15,0.0
866,2021-05-16,0.0
867,2021-05-17,0.0
868,2021-05-18,0.0
869,2021-05-19,89.3
870,2021-05-20,0.0
871,2021-05-21,0.0
872,2021-05-22,0.0
873,2021-05-23,0.0
874,2021-05-24,0.0
875,2021-05-25,0.0
876,2021-05-26,0.0
877,2021-05-27,0.0
878,2021-05-28,5.923071528751754
879,2021-05-29,5.3
880,2021-05-30,5.923071528751754
881,2021-05-31,5.923071528751754
882,2021-06-01,5.923071528751754
883,2021-06-02,12.2
884,2021-06-03,0.0
885,2021-06-04,0.4
886,2021-06-05,0.0
887,2021-06-06,0.0
888,2021-06-07,0.0
889,2021-06-08,5.923071528751754
890,2021-06-09,2.8
891,2021-06-10,0.0
892,2021-06-11,0.0
893,2021-06-12,5.923071528751754
894,2021-06-13,0.0
895,2021-06-14,0.0
896,2021-06-15,0.0
897,2021-06-16,6.1
898,2021-06-17,9.2
899,2021-06-18,0.0
900,2021-06-19,0.0
901,2021-06-20,0.0
902,2021-06-21,0.0
903,2021-06-22,0.8
904,2021-06-23,0.0
905,2021-06-24,0.0
906,2021-06-25,46.2
907,2021-06-26,0.0
908,2021-06-27,0.0
909,2021-06-28,5.923071528751754
910,2021-06-29,0.8
911,2021-06-30,5.923071528751754
912,2021-07-01,0.0
913,2021-07-02,0.0
914,2021-07-03,0.0
915,2021-07-04,0.0
916,2021-07-05,0.0
917,2021-07-06,0.0
918,2021-07-07,0.0
919,2021-07-08,0.0
920,2021-07-09,0.0
921,2021-07-10,5.923071528751754
922,2021-07-11,0.0
923,2021-07-12,0.0
924,2021-07-13,0.0
925,2021-07-14,0.0
926,2021-07-15,0.0
927,2021-07-16,0.0
928,2021-07-17,0.0
929,2021-07-18,0.0
930,2021-07-19,0.0
931,2021-07-20,0.0
932,2021-07-21,0.0
933,2021-07-22,5.923071528751754
934,2021-07-23,0.0
935,2021-07-24,0.0
936,2021-07-25,0.0
937,2021-07-26,0.0
938,2021-07-27,0.0
939,2021-07-28,0.0
940,2021-07-29,0.0
941,2021-07-30,0.0
942,2021-07-31,0.0
943,2021-08-01,0.0
944,2021-08-02,0.0
945,2021-08-03,0.0
946,2021-08-04,1.2
947,2021-08-05,0.0
948,2021-08-06,0.0
949,2021-08-07,0.0
950,2021-08-08,0.0
951,2021-08-09,5.923071528751754
952,2021-08-10,0.0
953,2021-08-11,0.0
954,2021-08-12,0.0
955,2021-08-13,5.923071528751754
956,2021-08-14,0.0
957,2021-08-15,0.0
958,2021-08-16,0.7
959,2021-08-17,0.0
960,2021-08-18,0.0
961,2021-08-19,0.0
962,2021-08-20,5.923071528751754
963,2021-08-21,0.0
964,2021-08-22,0.0
965,2021-08-23,0.0
966,2021-08-24,0.0
967,2021-08-25,0.0
968,2021-08-26,0.0
969,2021-08-27,0.0
970,2021-08-28,0.0
971,2021-08-29,0.0
972,2021-08-30,0.0
973,2021-08-31,0.0
974,2021-09-01,0.0
975,2021-09-02,0.0
976,2021-09-03,0.0
977,2021-09-04,0.0
978,2021-09-05,0.0
979,2021-09-06,0.0
980,2021-09-07,0.0
981,2021-09-08,0.0
982,2021-09-09,0.0
983,2021-09-10,0.0
984,2021-09-11,0.0
985,2021-09-12,5.923071528751754
986,2021-09-13,9.0
987,2021-09-14,9.5
988,2021-09-15,61.5
989,2021-09-16,0.0
990,2021-09-17,0.0
